Ip-Mac,Start Date,Start Time,End Date,End Time,MB Consumption
100.71.177.169,04 Apr 24,02:46:20,04 Apr 24,10:02:59,6216.81
100.71.130.75,04 Apr 24,10:04:25,04 Apr 24,22:04:00,23461.8
100.71.240.189,04 Apr 24,22:04:32,05 Apr 24,02:45:00,5454.53
100.71.25.52,05 Apr 24,02:46:24,05 Apr 24,14:45:59,15497.2
100.71.218.205,05 Apr 24,14:46:34,06 Apr 24,02:45:00,16672.37
100.71.119.10,06 Apr 24,02:46:22,06 Apr 24,10:34:59,3934.04
100.71.52.246,06 Apr 24,10:36:08,06 Apr 24,22:36:00,23846.18
100.71.109.152,06 Apr 24,22:36:16,07 Apr 24,02:45:00,2437.33
100.71.36.110,07 Apr 24,02:46:22,07 Apr 24,14:45:59,18812.26
100.71.127.8,07 Apr 24,14:46:33,07 Apr 24,22:44:00,16629.92
100.71.234.181,07 Apr 24,22:45:32,08 Apr 24,02:45:00,932.18
100.71.192.200,08 Apr 24,02:46:22,08 Apr 24,14:45:59,13928.38
100.71.8.126,08 Apr 24,14:46:33,09 Apr 24,02:45:00,23332.71
100.71.74.27,09 Apr 24,02:46:23,09 Apr 24,14:40:00,14588.63
100.71.44.213,09 Apr 24,14:48:46,10 Apr 24,02:45:00,12131.2
100.71.232.80,10 Apr 24,02:46:23,10 Apr 24,12:52:00,4488.18
100.71.195.46,10 Apr 24,12:52:54,10 Apr 24,23:54:59,15488.65
100.71.153.208,10 Apr 24,23:56:28,11 Apr 24,02:45:00,1020.92
100.71.227.15,11 Apr 24,02:46:22,11 Apr 24,14:45:59,10476.13
100.71.54.52,11 Apr 24,14:46:33,12 Apr 24,02:45:00,10743.5
100.71.245.111,12 Apr 24,02:46:23,12 Apr 24,14:45:59,8772.81
100.71.212.110,12 Apr 24,14:46:34,13 Apr 24,02:45:00,16912.07
100.71.140.107,13 Apr 24,02:46:23,13 Apr 24,14:45:59,5263.03
100.71.121.55,13 Apr 24,14:46:34,14 Apr 24,02:45:00,10576.74
100.71.74.80,14 Apr 24,02:46:22,14 Apr 24,14:45:59,8434.77
100.71.29.10,14 Apr 24,14:46:34,15 Apr 24,02:45:00,11169.42
100.71.255.146,15 Apr 24,02:46:23,15 Apr 24,14:45:59,12193.27
100.71.246.32,15 Apr 24,14:46:33,15 Apr 24,20:54:59,9902.04
100.71.76.139,15 Apr 24,20:55:33,16 Apr 24,02:45:00,9992.73
100.71.88.101,16 Apr 24,02:46:23,16 Apr 24,14:45:59,5226.57
100.71.48.0,16 Apr 24,14:46:34,17 Apr 24,02:45:00,13037.39
100.71.115.32,17 Apr 24,02:46:27,17 Apr 24,14:45:59,7876.42
100.71.130.125,17 Apr 24,14:46:39,18 Apr 24,02:45:00,15093.8
100.71.96.36,18 Apr 24,02:46:22,18 Apr 24,14:06:00,8600.22
100.71.72.117,18 Apr 24,14:08:04,19 Apr 24,02:08:00,19166.91
100.71.41.55,19 Apr 24,02:08:11,19 Apr 24,02:45:00,36.17
100.71.75.31,19 Apr 24,02:46:23,19 Apr 24,14:45:59,13937.28
100.71.29.204,19 Apr 24,14:46:35,20 Apr 24,02:45:00,20900.92
100.71.119.150,20 Apr 24,02:46:23,20 Apr 24,14:45:59,6090.03
100.71.61.187,20 Apr 24,14:46:34,21 Apr 24,02:45:00,27127.51
100.71.139.130,21 Apr 24,02:46:23,21 Apr 24,14:45:59,11437.15
100.71.62.41,21 Apr 24,14:46:34,22 Apr 24,02:45:00,15268.54
100.71.114.70,22 Apr 24,02:46:22,22 Apr 24,14:45:59,10337.48
100.71.106.249,22 Apr 24,14:46:34,23 Apr 24,02:45:00,12840.45
100.71.212.243,23 Apr 24,02:46:23,23 Apr 24,14:45:59,6840.93
100.71.77.174,23 Apr 24,14:46:34,24 Apr 24,02:45:00,13463.86
100.71.138.102,24 Apr 24,02:46:24,24 Apr 24,14:45:59,13128.47
100.71.200.17,24 Apr 24,14:46:35,25 Apr 24,02:45:00,9876.24
100.71.180.203,25 Apr 24,02:46:23,25 Apr 24,14:45:59,10208.31
100.71.70.86,25 Apr 24,14:46:34,26 Apr 24,02:45:00,12926.74
100.71.254.220,26 Apr 24,02:46:23,26 Apr 24,14:45:59,15530.64
100.71.136.200,26 Apr 24,14:46:34,27 Apr 24,02:45:00,14298.96
100.71.247.13,27 Apr 24,02:46:23,27 Apr 24,14:45:59,12716.55
100.71.166.255,27 Apr 24,14:46:35,27 Apr 24,22:53:59,7455.43
100.71.243.98,27 Apr 24,23:08:58,28 Apr 24,02:45:00,1670.22
100.71.147.89,28 Apr 24,02:46:20,28 Apr 24,09:47:59,5012.2
100.71.7.221,28 Apr 24,09:49:03,28 Apr 24,21:49:00,31998.82
100.71.253.139,28 Apr 24,21:49:11,29 Apr 24,02:45:00,3007.51
100.71.93.235,29 Apr 24,02:46:23,29 Apr 24,14:45:59,12820.53
100.71.45.18,29 Apr 24,14:46:34,30 Apr 24,02:45:00,10985.59
100.71.180.208,30 Apr 24,02:46:22,30 Apr 24,14:45:59,6428.61
100.71.247.44,30 Apr 24,14:46:33,01 May 24,02:45:00,17199.66
100.71.250.211,01 May 24,02:46:23,01 May 24,14:45:59,12877.2
100.71.160.32,01 May 24,14:46:33,01 May 24,22:49:00,16243.62
100.71.32.92,01 May 24,22:50:58,02 May 24,02:45:00,2353.77
100.71.164.91,02 May 24,02:46:23,02 May 24,14:45:59,14366.34
100.71.188.160,02 May 24,14:46:34,03 May 24,02:45:00,18767.73
100.71.251.60,03 May 24,02:46:23,03 May 24,14:45:59,16464.71
100.71.204.61,03 May 24,14:46:37,04 May 24,02:45:00,19465.73
100.71.249.185,04 May 24,02:46:22,04 May 24,14:45:59,11845.07
100.71.81.176,04 May 24,14:46:34,04 May 24,23:08:59,8703.08
100.71.54.125,04 May 24,23:10:48,05 May 24,02:45:00,1497.13
100.71.22.127,05 May 24,02:46:24,05 May 24,14:45:59,11247.44
100.71.233.183,05 May 24,14:46:33,05 May 24,18:43:00,5524.59
100.71.236.82,05 May 24,18:43:59,06 May 24,02:45:00,7487.56
100.71.162.225,06 May 24,02:46:22,06 May 24,14:45:59,10552.23
100.71.129.3,06 May 24,14:46:31,06 May 24,21:23:59,13085.07
100.71.41.109,06 May 24,21:26:53,07 May 24,02:45:00,5695.2
100.71.161.201,07 May 24,02:46:23,07 May 24,14:45:59,24796.3
100.71.116.170,07 May 24,14:46:34,08 May 24,02:45:00,21315.42
100.71.29.245,08 May 24,02:46:24,08 May 24,14:45:59,23657.85
100.71.148.54,08 May 24,14:46:35,09 May 24,02:45:00,18775.25
100.71.219.13,09 May 24,02:46:23,09 May 24,14:45:59,25550.34
100.71.16.97,09 May 24,14:46:31,09 May 24,17:42:00,3841.56
100.71.223.173,09 May 24,17:44:09,10 May 24,02:45:00,3662.24
100.71.196.238,10 May 24,02:46:23,10 May 24,14:45:59,9729.52
100.71.35.8,10 May 24,14:46:35,11 May 24,02:45:00,26529.56
100.71.80.186,11 May 24,02:46:20,11 May 24,14:45:59,13896.26
100.71.184.8,11 May 24,14:46:31,11 May 24,22:21:59,10551.6
100.71.32.233,11 May 24,22:23:43,12 May 24,02:45:00,7847.97
100.71.159.136,12 May 24,02:46:22,12 May 24,14:45:59,25438.75
100.71.46.221,12 May 24,14:46:34,13 May 24,02:45:00,16861.39
100.71.25.59,13 May 24,02:46:22,13 May 24,14:45:59,20844.21
100.71.41.48,13 May 24,14:46:34,14 May 24,02:45:00,16876.75
100.71.19.232,14 May 24,02:46:23,14 May 24,14:27:00,9822.77
100.71.157.97,14 May 24,14:50:49,15 May 24,02:45:00,15180.9
100.71.179.48,15 May 24,02:46:23,15 May 24,14:45:59,16928.29
100.71.186.140,15 May 24,14:46:34,16 May 24,02:45:00,18121.67
100.71.196.4,16 May 24,02:46:24,16 May 24,14:45:59,15535.76
100.71.87.222,16 May 24,14:46:35,17 May 24,02:45:00,22716.43
100.71.39.128,17 May 24,02:46:23,17 May 24,14:45:59,14634.7
100.71.35.254,17 May 24,14:46:35,18 May 24,02:45:00,16970.64
100.71.92.5,18 May 24,02:46:22,18 May 24,14:45:59,14113.81
100.71.144.76,18 May 24,14:46:34,19 May 24,02:45:00,17140.24
100.71.224.110,19 May 24,02:46:22,19 May 24,14:45:59,13065.08
100.71.52.200,19 May 24,14:46:31,19 May 24,18:52:59,12964.33
